dateTime,value__bpm,value__confidence
11/02/23 10:45:36,81,3
11/02/23 10:45:41,76,3
11/02/23 10:45:46,71,3
11/02/23 10:45:51,69,2
11/02/23 10:45:56,67,3
11/02/23 10:46:01,66,3
11/02/23 10:46:11,67,3
11/02/23 10:46:26,66,3
11/02/23 10:46:36,67,3
11/02/23 10:46:46,66,3
11/02/23 10:46:56,67,3
11/02/23 10:47:06,66,3
11/02/23 10:47:21,67,3
11/02/23 10:47:26,66,3
11/02/23 10:47:41,66,3
11/02/23 10:47:46,66,2
11/02/23 10:47:51,68,2
11/02/23 10:47:56,67,3
11/02/23 10:48:01,65,3
11/02/23 10:48:06,65,3
11/02/23 10:48:16,66,3
11/02/23 10:48:21,65,3
11/02/23 10:48:26,65,2
11/02/23 10:48:36,65,3
11/02/23 10:48:41,67,3
11/02/23 10:48:46,66,3
11/02/23 10:48:56,67,3
11/02/23 10:49:06,66,3
11/02/23 10:49:21,67,3
11/02/23 10:49:31,66,3
11/02/23 10:49:41,68,3
11/02/23 10:49:46,69,3
11/02/23 10:49:51,68,3
11/02/23 10:49:56,66,3
11/02/23 10:50:06,68,3
11/02/23 10:50:11,69,3
11/02/23 10:50:26,69,3
11/02/23 10:50:31,71,3
11/02/23 10:50:36,70,3
11/02/23 10:50:41,68,3
11/02/23 10:50:56,68,3
11/02/23 10:51:11,71,3
11/02/23 10:51:21,69,3
11/02/23 10:51:27,69,3
11/02/23 10:51:32,68,3
11/02/23 10:51:37,68,2
11/02/23 10:51:42,69,2
11/02/23 10:51:52,70,2
11/02/23 10:51:57,71,2
11/02/23 10:52:07,77,2
11/02/23 10:52:12,78,2
11/02/23 10:52:17,75,2
11/02/23 10:52:22,68,3
11/02/23 10:52:32,68,2
11/02/23 10:52:47,68,2
11/02/23 10:52:52,67,2
11/02/23 10:52:57,66,2
11/02/23 10:53:02,65,2
11/02/23 10:53:07,65,3
11/02/23 10:53:12,65,2
11/02/23 10:53:17,65,3
11/02/23 10:53:22,66,3
11/02/23 10:53:27,68,3
11/02/23 10:53:32,68,2
11/02/23 10:53:37,67,3
11/02/23 10:53:42,65,3
11/02/23 10:53:47,66,2
11/02/23 10:53:52,68,3
11/02/23 10:53:57,69,3
11/02/23 10:54:02,69,2
11/02/23 10:54:07,68,3
11/02/23 10:54:12,67,3
11/02/23 10:54:17,66,3
11/02/23 10:54:22,65,3
11/02/23 10:54:27,66,3
11/02/23 10:54:32,67,3
11/02/23 10:54:37,69,2
11/02/23 10:54:42,70,2
11/02/23 10:54:47,71,2
11/02/23 10:54:52,72,2
11/02/23 10:54:57,68,3
11/02/23 10:55:02,67,3
11/02/23 10:55:07,68,3
11/02/23 10:55:17,66,3
11/02/23 10:55:22,65,2
11/02/23 10:55:27,66,2
11/02/23 10:55:37,68,2
11/02/23 10:55:42,69,2
11/02/23 10:55:47,72,2
11/02/23 10:55:52,72,3
11/02/23 10:55:57,69,3
11/02/23 10:56:02,67,3
11/02/23 10:56:07,66,2
11/02/23 10:56:12,69,2
11/02/23 10:56:17,67,3
11/02/23 10:56:27,70,3
11/02/23 10:56:32,72,3
11/02/23 10:56:38,71,2
