dateTime,value/bpm,value/confidence
09/24/23 02:52:03,88,2
09/24/23 02:52:08,86,2
09/24/23 02:52:13,85,2
09/24/23 02:52:18,86,2
09/24/23 02:52:23,85,2
09/24/23 02:52:33,84,2
09/24/23 02:52:43,85,2
09/24/23 02:52:48,86,2
09/24/23 02:53:03,86,2
09/24/23 02:53:08,87,2
09/24/23 02:53:13,91,2
09/24/23 02:53:18,95,3
09/24/23 02:53:23,97,2
09/24/23 02:53:28,96,2
09/24/23 02:53:33,95,2
09/24/23 02:53:38,97,2
09/24/23 02:53:53,97,2
09/24/23 02:54:03,91,2
09/24/23 02:54:08,84,2
09/24/23 02:54:18,86,2
09/24/23 02:54:24,90,2
09/24/23 02:54:29,92,2
09/24/23 02:54:44,92,2
09/24/23 02:54:49,90,3
09/24/23 02:54:54,89,2
09/24/23 02:55:09,90,2
09/24/23 02:55:24,90,2
09/24/23 02:55:39,91,2
09/24/23 02:55:44,92,2
09/24/23 02:55:49,93,2
09/24/23 02:56:04,93,2
09/24/23 02:56:09,94,2
09/24/23 02:56:14,95,2
09/24/23 02:56:19,94,2
09/24/23 02:56:24,93,2
09/24/23 02:56:29,91,2
09/24/23 02:56:39,90,2
09/24/23 02:56:54,90,2
09/24/23 02:56:59,91,2
09/24/23 02:57:04,92,2
09/24/23 02:57:19,92,2
09/24/23 02:57:24,91,2
09/24/23 02:57:29,92,2
09/24/23 02:57:34,93,2
09/24/23 02:57:49,94,2
09/24/23 02:58:04,95,2
09/24/23 02:58:09,97,3
09/24/23 02:58:14,97,2
09/24/23 02:58:19,99,2
09/24/23 02:58:29,98,2
09/24/23 02:58:44,98,2
09/24/23 02:58:49,99,2
09/24/23 02:58:54,97,1
09/24/23 02:58:59,87,2
09/24/23 02:59:14,88,2
09/24/23 02:59:29,89,3
09/24/23 02:59:34,89,2
09/24/23 02:59:49,89,2
09/24/23 03:00:04,90,2
09/24/23 03:00:14,89,2
09/24/23 03:00:19,88,2
09/24/23 03:00:34,88,2
09/24/23 03:00:49,88,2
09/24/23 03:00:59,89,2
09/24/23 03:01:14,88,2
09/24/23 03:01:19,87,2
09/24/23 03:01:29,90,2
09/24/23 03:01:39,91,2
09/24/23 03:01:54,90,2
09/24/23 03:01:59,92,2
09/24/23 03:02:04,93,2
09/24/23 03:02:09,92,2
09/24/23 03:02:24,93,2
09/24/23 03:02:29,95,2
09/24/23 03:02:34,96,2
09/24/23 03:02:39,98,2
09/24/23 03:02:49,97,2
09/24/23 03:02:59,95,2
09/24/23 03:03:04,94,2
09/24/23 03:03:09,97,2
09/24/23 03:03:14,98,2
09/24/23 03:03:29,97,2
09/24/23 03:03:34,96,2
09/24/23 03:03:44,94,2
09/24/23 03:03:49,93,2
09/24/23 03:04:04,94,2
09/24/23 03:04:14,90,2
09/24/23 03:04:19,86,2
09/24/23 03:04:34,86,2
